rollout/ep_len_mean,rollout/exploration_rate,time/time_elapsed,time/fps,time/total_timesteps,rollout/ep_rew_mean,time/episodes,train/loss,train/n_updates,train/learning_rate
427.78,0.07930750000000009,512,604,310128,349.02118136999997,640,0.029650626704096794,19070,0.0003
420.43,0.07589937500000021,514,605,311276,340.92749991999995,644,0.08930141478776932,19142,0.0003
418.46,0.07057937500000011,516,606,313068,338.12054895000006,648,0.436813622713089,19254,0.0003
419.05,0.06563937499999994,518,607,314732,338.61225992000004,652,0.5092852711677551,19358,0.0003
413.11,0.061281250000000065,519,608,316200,332.60947479999993,656,0.12315080314874649,19450,0.0003
411.02,0.05808687500000009,521,608,317276,328.95581229000004,660,0.4678758382797241,19517,0.0003
413.3,0.05184062500000031,524,608,319380,325.92741619000003,664,0.8946100473403931,19649,0.0003
411.18,0.05,526,608,320464,320.60819173,668,0.841492772102356,19716,0.0003
408.06,0.05,528,609,322060,321.33384657000005,672,0.21299830079078674,19816,0.0003
408.27,0.05,531,609,324048,320.12884901,676,0.8045324087142944,19940,0.0003
409.13,0.05,533,610,325916,322.02820982000003,680,0.8470431566238403,20057,0.0003
406.81,0.05,535,612,327732,328.157026,684,1.704831838607788,20171,0.0003
404.93,0.05,537,612,329360,329.71275131000004,688,0.47819969058036804,20272,0.0003
402.37,0.05,540,613,331048,333.34342961999994,692,1.263100504875183,20378,0.0003
401.09,0.05,541,614,332620,334.92880163,696,0.5251249074935913,20476,0.0003
400.13,0.05,547,610,334408,335.99195229000014,700,2.082655668258667,20588,0.0003
401.04,0.05,550,610,336260,336.55540697,704,0.5201835632324219,20704,0.0003
404.35,0.05,552,611,337968,340.89849965,708,0.03607681393623352,20810,0.0003
403.16,0.05,554,612,339612,337.37122804,712,0.036720383912324905,20913,0.0003
406.88,0.05,557,612,341272,343.9160346599999,716,0.03452698886394501,21017,0.0003
406.58,0.05,558,613,342728,347.14089635000005,720,0.9508634805679321,21108,0.0003
404.98,0.05,559,614,344008,341.72152900000003,724,1.8452136516571045,21188,0.0003
408.26,0.05,562,615,345976,346.50821963000004,728,0.04338560998439789,21311,0.0003
406.15,0.05,563,616,347772,340.70255112,732,0.061046354472637177,21423,0.0003
405.04,0.05,565,617,349348,341.3437121999999,736,0.9238123297691345,21522,0.0003
403.21,0.05,568,617,350708,336.13179236,740,0.9603152871131897,21607,0.0003
411.91,0.05,570,618,352708,348.21533430000005,744,1.3171676397323608,21732,0.0003
415.77,0.05,572,619,354592,350.1742749,748,0.04352840781211853,21849,0.0003
417.46,0.05,573,620,355992,348.72789570000003,752,1.9236564636230469,21937,0.0003
419.01,0.05,575,621,357668,357.46418824,756,0.5622486472129822,22042,0.0003
426.09,0.05,577,623,359848,366.2757563400001,760,0.05430787801742554,22178,0.0003
421.2,0.05,578,624,361156,364.19628463000004,764,0.1779647171497345,22260,0.0003
419.0,0.05,580,624,362468,368.0080362399999,768,1.3060859441757202,22342,0.0003
418.64,0.05,583,624,364044,368.35192325,772,1.3702303171157837,22440,0.0003
415.59,0.05,586,624,365908,369.85991985999993,776,1.6714398860931396,22557,0.0003
416.0,0.05,588,624,367668,367.9090458,780,0.8114131689071655,22667,0.0003
413.7,0.05,589,625,368912,365.20223103999996,784,0.04609808325767517,22744,0.0003
412.71,0.05,592,625,370256,366.10893517,788,2.962317705154419,22828,0.0003
412.02,0.05,593,626,371764,366.52304052999995,792,1.066440224647522,22923,0.0003
410.14,0.05,595,627,373576,366.99813806000003,796,0.9850271940231323,23036,0.0003
409.22,0.05,596,628,374988,367.16837139,800,0.7376083135604858,23124,0.0003
405.42,0.05,600,627,376856,370.1131676400001,804,1.129577875137329,23241,0.0003
404.6,0.05,602,628,378236,375.79005939,808,1.0436983108520508,23327,0.0003
403.91,0.05,603,628,379524,381.52820990999993,812,1.0474438667297363,23408,0.0003
